Year,Locationdesc,Response,Total_SS_Loc,latitude,longitude,Percentage_Loc,Sample_Size
2015,Mississippi,Yes,34107,32.745510099,-89.538030825,17.2,5865
2015,Missouri,No,41360,38.635790776,-92.566300053,80.92999999999999,33477
2015,Missouri,Yes,41360,38.635790776,-92.566300053,19.05,7883
2015,Montana,No,34336,47.066528972,-109.424420645,84.08,28872
2015,Montana,Yes,34336,47.066528972,-109.424420645,15.92,5464
2015,Nebraska,No,100134,41.641040988001,-99.365720623,85.38,85504
2015,Nebraska,Yes,100134,41.641040988001,-99.365720623,14.6,14630
2015,Nevada,No,16567,39.49324039,-117.071840564,84.25,13960
2015,Nevada,Yes,16567,39.49324039,-117.071840564,15.72,2607
2015,New Hampshire,No,39235,43.655950113,-71.50036092,87.05,34155
2015,New Hampshire,Yes,39235,43.655950113,-71.50036092,12.98,5080
2015,New Jersey,No,63757,40.130570048,-74.273691288,86.71000000000001,55288
2015,New Jersey,Yes,63757,40.130570048,-74.273691288,13.27,8469
2015,New Mexico,No,37791,34.520880952,-106.240580985,85.1,32152
2015,New Mexico,Yes,37791,34.520880952,-106.240580985,14.94,5639
2015,New York,No,68355,42.827001032,-75.543970427,86.46000000000001,59106
2015,New York,Yes,68355,42.827001032,-75.543970427,13.56,9249
2015,North Carolina,No,37663,35.466220975,-79.159250463,83.18,31341
2015,North Carolina,Yes,37663,35.466220975,-79.159250463,16.79,6322
2015,North Dakota,No,28285,47.475319779,-100.118421049,84.89,24012
2015,North Dakota,Yes,28285,47.475319779,-100.118421049,15.09,4273
2015,Ohio,No,66912,40.060210141,-82.404260056,83.1,55626
2015,Ohio,Yes,66912,40.060210141,-82.404260056,16.84,11286
2015,Oklahoma,No,39337,35.472031356,-97.521070214,82.86,32612
2015,Oklahoma,Yes,39337,35.472031356,-97.521070214,17.1,6725
2015,Oregon,No,29815,44.567449424,-120.155031326,86.01,25640
2015,Oregon,Yes,29815,44.567449424,-120.155031326,14.01,4175
2015,Pennsylvania,No,32287,40.793730152,-77.860700294,83.5,26966
2015,Pennsylvania,Yes,32287,40.793730152,-77.860700294,16.48,5321
2015,Puerto Rico,No,31027,18.220833,-66.590149,91.31,28326
2015,Puerto Rico,Yes,31027,18.220833,-66.590149,8.72,2701
2015,Rhode Island,No,34281,41.708280193,-71.522470314,86.82,29756
2015,Rhode Island,Yes,34281,41.708280193,-71.522470314,13.21,4525
2015,South Carolina,No,65352,33.998821303,-81.045371207,83.98,54898
2015,South Carolina,Yes,65352,33.998821303,-81.045371207,15.95,10454
2015,South Dakota,No,41185,44.353130053,-100.373530637,84.2,34669
2015,South Dakota,Yes,41185,44.353130053,-100.373530637,15.81,6516
2015,Tennessee,No,33145,35.68094058,-85.774490914,80.52,26689
2015,Tennessee,Yes,33145,35.68094058,-85.774490914,19.47,6456
2015,Texas,No,81197,31.827240407,-99.426770206,86.89,70544
2015,Texas,Yes,81197,31.827240407,-99.426770206,13.08,10653
2015,Utah,No,64459,39.360700171,-111.587130635,91.97,59289
2015,Utah,Yes,64459,39.360700171,-111.587130635,8.02,5170
2015,Vermont,No,36661,43.625381239,-72.517640791,85.81,31458
2015,Vermont,Yes,36661,43.625381239,-72.517640791,14.19,5203
2015,Virginia,No,48927,37.542680674,-78.457890463,85.06,41599
2015,Virginia,Yes,48927,37.542680674,-78.457890463,15.02,7328
2015,Washington,No,90819,47.522278629,-120.47001079,88.15,80045
2015,Washington,Yes,90819,47.522278629,-120.47001079,11.88,10774
2015,West Virginia,No,33751,38.665510202,-80.712640135,76.98,25991
2015,West Virginia,Yes,33751,38.665510202,-80.712640135,22.990000000000002,7760
2015,Wisconsin,No,35122,44.393191174,-89.816370742,83.99,29500
2015,Wisconsin,Yes,35122,44.393191174,-89.816370742,16.04,5622
